ID_carrera,Nombre,Abreviacion
1,INGENIERÍA MECATRÓNICA,IM
2,INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN,ITI
3,INGENIERÍA EN TECNOLOGÍAS DE MANUFACTURA,ITM
4,MAESTRÍA EN INGENIERÍA ESPECIALIDAD MECATRÓNICA,MEM
5,MAESTRÍA EN INGENIERÍA ESPECIALIDAD TECNOLOGÍAS DE LA INFORMACIÓN,METI
6,NIVELACIÓN ACADÉMICA,
7,LICENCIATURA EN ADMINISTRACIÓN Y GESTIÓN DE PEQUEÑAS Y MEDIANAS EMPRESAS,LAGyPYMES
9,IDIOMAS,
10,CURSO PROPEDÉUTICO,
11,INGENIERÍA EN SISTEMAS AUTOMOTRICES,IA
12,MAESTRÍA EN INGENIERÍA,MI
13,MAESTRÍA EN ENERGÍAS RENOVABLES,MER
14,PROFESIONAL ASOCIADO EN ING. INDUSTRIAL,
15,LICENCIATURA EN ADMINISTRACION Y GESTION EMPRESARIAL,
